Time,Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz
0.0000,12.5864,-15.1950,-13.2272,-2.2821,-0.8444,3.1869,-22.4292,-12.0559,-8.3542,-3.5401,10.1412,8.1014,8.8894,1.0233,-40.9860,11.0632,10.8536,13.7349,20.5261,23.4122,11.8777,-87.4175,-78.0106,-66.0835,-94.8375,-58.8410,-40.4850,-32.1609,-61.7646,-76.3710,-10.9589,-24.2726,-23.1148,-23.8873,-12.3750,-29.2972,5.7911,-15.3802,-28.4389,-9.1737,3.9856,-6.2824,32.1220,45.5007,41.9098,15.6008,34.7154,22.2802,18.5902,32.6122,22.6370,25.1766,27.7578,55.7906,31.2079,27.1989,34.4199,33.4521,33.2428,37.7919,44.0888,32.0723,42.1236,62.6023
6.2500,-11.2566,-14.2709,-10.6673,-1.3545,3.5626,-1.6400,-26.6074,-8.7133,-5.4222,-0.6225,11.2273,7.1387,4.8056,2.6756,-39.4041,13.7374,15.0825,13.5393,18.9211,19.2791,14.1327,-66.6363,-66.7141,-42.6569,-98.3931,-70.4208,-44.6959,-32.0986,-60.8826,-71.2631,-11.5417,-35.7981,-27.4529,-25.3379,-16.2814,-35.1131,0.9505,-5.9131,-22.6619,-8.0834,3.1546,-6.8401,24.5788,57.4687,34.1434,8.3077,41.4931,23.5674,18.1461,34.2670,20.6630,23.9132,25.0315,50.9589,32.8020,36.8593,34.6457,32.2037,28.4478,33.6722,46.4967,26.1677,39.3460,67.3571
12.5000,-26.6987,-13.2415,-10.1914,-4.0258,3.0331,-10.7259,-31.0634,-5.9947,-2.9447,0.4159,9.1501,3.9605,1.1468,8.4498,-18.3980,15.2588,17.7714,11.4931,17.0613,17.5384,21.3708,-62.9419,-66.2991,-42.0989,-87.7151,-77.5733,-49.7453,-33.0686,-65.1926,-65.1174,-14.7934,-43.2297,-32.9936,-28.9513,-21.8617,-38.9456,-1.3263,-0.5516,-23.4412,0.0513,-4.6837,-4.1545,13.2877,68.8274,29.8757,9.1831,41.7062,21.9251,17.9266,34.4880,21.5121,24.5421,26.3537,51.6650,39.0973,49.0524,35.4812,34.3261,28.1356,31.6978,50.2565,22.9142,41.0505,67.9637
18.7500,-28.9875,-15.1226,-13.0039,-8.6411,-3.8408,-18.9435,-33.6681,-7.8370,-3.4364,-1.1917,3.9811,-0.3127,-0.0777,12.9239,-1.8546,14.8857,15.8837,8.0518,15.1989,17.4801,22.7155,-77.4981,-74.3396,-57.9967,-59.3994,-70.9626,-50.5591,-33.6341,-71.3616,-61.6961,-17.3972,-42.8190,-35.2448,-30.9828,-24.3638,-37.9632,0.2232,-0.0762,-30.0188,7.1939,-12.8878,-0.9149,5.4256,74.0992,36.6669,16.3997,39.8431,19.0540,19.1285,32.5440,24.3903,26.9057,29.9429,55.9545,46.8971,55.5606,38.0799,39.4256,31.1761,31.6452,54.4898,23.1200,45.2007,62.5461
25.0000,-21.0145,-19.7806,-17.2274,-12.3053,-11.4096,-20.3425,-35.9715,-12.7782,-5.4294,-3.2072,-0.8019,-3.7078,1.4505,11.8493,-1.8016,14.5049,11.1876,5.4441,13.4712,17.7122,16.0219,-94.2897,-82.2825,-73.9240,-31.4742,-56.8318,-48.6939,-36.4998,-71.3093,-62.9999,-14.1225,-40.1588,-34.3415,-31.4318,-24.7738,-36.0739,0.2214,-1.4385,-32.1169,6.6864,-16.0161,-0.5151,4.5258,71.3976,50.4113,25.1039,43.1203,19.1406,22.1202,29.7245,27.1030,29.9340,31.9391,57.2882,52.1555,53.0950,41.6700,44.8289,33.9922,31.8182,57.9968,26.5171,48.0432,54.5966
31.2500,-13.0883,-24.4507,-19.8341,-13.6090,-13.1685,-14.5245,-39.4397,-15.5475,-5.3029,-2.6443,-1.4633,-5.1256,3.6719,5.7843,-8.5357,16.6578,9.3852,5.8868,12.5396,18.1451,9.4469,-96.9390,-84.6882,-79.4152,-26.7221,-48.8579,-49.0680,-43.8548,-64.2744,-67.5025,-5.4900,-42.1748,-34.3838,-33.0763,-26.9760,-37.3874,-3.1035,-8.0362,-24.7288,0.0162,-15.4087,-2.7075,7.4740,63.8795,59.1256,31.8756,52.3180,22.7289,26.4784,28.8511,28.8132,32.8841,30.9231,52.4739,53.5166,46.5893,44.9638,48.4021,35.5297,31.6370,60.0191,33.4251,48.6595,49.4279
37.5000,-13.2666,-26.4976,-19.5388,-13.4775,-8.8521,-7.9345,-42.5196,-12.9382,-1.9566,0.9398,2.0273,-4.8178,3.9592,-0.2864,-4.2811,21.4533,13.8477,9.2706,13.2799,19.6469,11.3025,-85.5960,-83.4065,-75.4754,-46.8416,-52.0955,-53.2169,-53.1643,-60.0428,-71.3072,1.2568,-48.5497,-38.0936,-37.4086,-32.1773,-41.2016,-7.1070,-24.2016,-15.9892,-6.5564,-15.2098,-4.5268,8.1120,56.8557,55.7388,35.6646,59.4966,25.3626,31.0061,31.8007,30.4605,35.4244,28.9075,46.3811,52.3186,43.8330,47.4991,50.8156,37.7775,30.9545,61.5182,43.3662,49.1272,49.1301
43.7500,-18.8947,-26.1443,-18.3890,-14.4356,-4.7151,-8.3935,-43.5883,-7.4475,1.1132,4.4957,5.4664,-4.2065,1.2873,-1.7497,15.1331,25.9456,21.0137,12.9885,15.5519,22.0428,19.7951,-74.5462,-82.7240,-68.2355,-68.6216,-58.7605,-57.7042,-59.4938,-67.1816,-72.2766,1.4939,-52.6990,-43.0452,-42.0203,-36.9777,-44.0150,-12.3525,-42.0550,-15.7161,-9.0335,-15.5112,-4.3769,4.1336,53.8324,42.8319,36.0746,57.2369,24.2016,34.8788,38.0093,33.4827,37.5467,28.7743,47.0194,50.5326,48.3737,49.9183,54.2491,42.2255,27.0950,62.8465,53.2731,51.2774,51.1698
50.0000,-20.1255,-24.8564,-18.0198,-16.6011,-4.9132,-16.2893,-43.6015,-2.8591,0.9958,5.6679,5.8775,-4.1672,-2.2403,1.3840,34.9466,27.9110,24.6487,15.4054,18.3654,23.9466,24.6280,-74.1985,-82.7867,-62.7400,-68.9994,-58.8955,-58.3737,-60.2305,-82.1829,-72.3957,0.0524,-49.5980,-43.9707,-42.6505,-36.9163,-44.0318,-23.4686,-45.1262,-21.3466,-8.9143,-13.9604,-4.8664,-1.8011,53.1263,29.0412,30.9633,47.5450,22.4698,37.5318,44.1481,37.5054,38.2502,30.2504,54.7488,47.9560,56.5972,51.9279,58.5709,45.8123,17.3584,62.3525,57.4412,52.7231,50.9783
56.2500,-9.0211,-22.3404,-16.9701,-16.3382,-5.5082,-23.4845,-44.8942,0.8629,-0.3372,5.8855,5.3943,-3.6745,-3.6610,3.7689,37.7081,27.9251,23.0261,17.6407,20.4123,23.7806,18.6334,-80.6867,-80.9117,-63.4785,-50.8712,-51.4747,-54.6496,-55.5026,-94.3928,-74.6578,4.2475,-40.6741,-38.3288,-37.4966,-30.6719,-41.4038,-38.8110,-29.0297,-21.7019,-10.0070,-12.7661,-9.9318,-6.6576,48.6198,22.7316,18.6348,40.1783,25.0324,38.4857,46.5497,40.8545,36.2547,30.4909,60.3502,42.7991,62.1836,52.3678,61.1319,44.0613,3.7998,58.4515,52.4072,49.4111,46.2541
